age,gender,total_trips,days_since_last_trip,trips_30d,completed_trips_30d,cancelled_trips_30d,total_fare_30d,total_distance_30d,promo_used_trips_30d,total_events_30d,Cluster,city_Barcelona,city_Berlin,city_London,city_Milan,income_level_low,income_level_medium,signup_channel_Organic,signup_channel_Partnership,signup_channel_Referral,persona_Casual Rider,persona_Commuter,persona_Tourist,churned
-0.9230769230769231,2,1.1578947368421053,0.20833333333333334,0.25,0.3333333333333333,0.0,0.19443534496423026,1.363936530876476e-16,0.0,-0.15384615384615385,0.5,0,0,1,0,0,0,0,0,0,0,0,1,0.0
0.6923076923076923,2,0.5789473684210527,1.2083333333333333,-0.5,-0.6666666666666666,0.0,-0.6057083681168304,-0.6488146655149246,0.0,0.11538461538461539,-1.0,0,0,1,0,0,0,0,1,0,0,0,0,0.0
-0.46153846153846156,1,0.3157894736842105,-0.4583333333333333,0.5,0.3333333333333333,1.0,0.5398116935952577,0.5117573663499377,1.0,-1.0384615384615385,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0.0
0.46153846153846156,0,0.15789473684210525,-0.3333333333333333,0.0,0.0,0.0,-0.11349106548455618,-0.0798541126787599,0.0,0.6153846153846154,-0.5,1,0,0,0,1,0,0,0,0,0,0,0,0.0
-0.6153846153846154,1,-0.5789473684210527,0.75,1.75,1.6666666666666667,2.0,1.5920873268310214,1.8178328054515789,0.0,0.6153846153846154,-0.5,0,0,0,0,0,1,0,0,1,0,0,1,0.0
-0.11538461538461539,0,-0.5263157894736842,-0.5833333333333334,0.0,0.0,0.0,0.3161687783331398,0.013053076110951143,0.0,-0.11538461538461539,0.5,0,0,1,0,0,0,0,0,1,0,0,1,0.0
-0.038461538461538464,1,0.21052631578947367,-0.125,0.5,0.3333333333333333,1.0,0.16125453066055181,0.5489970246664749,0.0,-0.9615384615384616,0.5,0,0,1,0,0,0,1,0,0,0,0,1,0.0
-0.8846153846153846,2,0.47368421052631576,1.5416666666666667,0.25,0.3333333333333333,0.0,0.4017625986706541,0.36510221710336893,2.0,-0.6153846153846154,0.5,0,0,1,0,0,0,1,0,0,0,1,0,0.0
-0.038461538461538464,0,0.8947368421052632,-0.4583333333333333,0.25,0.3333333333333333,0.0,0.9941563725127601,0.03301660428064125,1.0,0.0,0.5,0,0,1,0,0,0,1,0,0,1,0,0,0.0
-0.46153846153846156,2,-1.105263157894737,1.4166666666666667,-0.5,-0.6666666666666666,0.0,-0.6057083681168304,-0.6488146655149246,0.0,-0.46153846153846156,-1.0,0,0,0,0,0,1,0,0,1,0,0,1,1.0
-0.5769230769230769,0,0.21052631578947367,-0.375,1.75,1.6666666666666667,2.0,1.9921169148182987,2.025914195220271,5.0,-1.0769230769230769,0.0,0,1,0,0,0,1,1,0,0,1,0,0,0.0
0.9230769230769231,1,-0.15789473684210525,0.08333333333333333,0.0,-0.3333333333333333,1.0,-0.17321653123117736,0.11363854496592767,0.0,-0.038461538461538464,0.5,0,0,0,0,0,1,0,0,1,0,1,0,0.0
-0.8076923076923077,1,-0.42105263157894735,0.9166666666666666,0.75,1.0,0.0,0.3537877907283929,0.4081005854688551,2.0,0.6538461538461539,-0.5,0,0,0,0,0,1,0,0,0,0,0,1,0.0
-0.6153846153846154,0,0.15789473684210525,-0.5833333333333334,-0.25,-0.3333333333333333,0.0,-0.42522164572612103,-0.48373164411171893,0.0,0.0,0.5,1,0,0,0,1,0,0,0,0,0,1,0,0.0
0.07692307692307693,2,-0.2631578947368421,-0.5833333333333334,2.75,3.0,2.0,2.7363816004987696,3.0782224781648915,0.0,0.5,0.0,0,0,0,1,0,1,1,0,0,1,0,0,0.0
0.23076923076923078,1,0.05263157894736842,0.2916666666666667,0.0,0.0,0.0,0.03952109729164248,0.0011517420097898507,1.0,-0.8076923076923077,0.5,0,0,0,1,0,1,0,0,1,0,0,0,0.0
0.9615384615384616,2,0.5789473684210527,0.125,0.25,0.3333333333333333,0.0,0.6114146228059981,0.36663787311642193,0.0,0.7692307692307693,-0.5,0,1,0,0,0,1,0,0,1,1,0,0,0.0
0.15384615384615385,2,-0.7894736842105263,-0.125,1.5,0.6666666666666666,4.0,0.9757695518476643,1.2730588348210004,2.0,-0.2692307692307692,0.0,0,0,0,1,0,1,0,0,1,0,0,1,0.0
0.8846153846153846,0,-0.42105263157894735,0.0,-0.25,-0.3333333333333333,0.0,-0.40535542569716704,-0.4353584797005471,0.0,1.5769230769230769,-0.5,0,0,0,1,0,1,0,0,1,0,0,1,0.0
0.15384615384615385,1,0.05263157894736842,0.625,0.25,0.3333333333333333,0.0,0.22360064670886484,0.4230732315961226,0.0,0.038461538461538464,0.5,0,1,0,0,0,1,0,0,0,0,0,1,0.0
0.5769230769230769,2,-0.5263157894736842,0.875,-0.5,-0.6666666666666666,0.0,-0.6057083681168304,-0.6488146655149246,0.0,0.4230769230769231,-1.0,0,0,0,0,0,1,0,0,0,0,1,0,1.0
0.9230769230769231,2,-0.6842105263157895,-0.4583333333333333,0.25,0.3333333333333333,0.0,-0.08643919140257628,0.3961992513676937,0.0,0.0,0.5,0,0,0,1,0,1,1,0,0,0,0,0,0.0
-0.07692307692307693,0,0.10526315789473684,-0.125,3.25,4.0,1.0,4.582376126721123,4.097898070832134,5.0,-0.5384615384615384,0.0,0,0,1,0,0,0,0,0,1,0,1,0,1.0
